RGIId,ELA
RGI60-13.00062,5643
RGI60-13.00093,NaN
RGI60-13.00130,NaN
RGI60-13.00135,6186
RGI60-13.00137,6044
RGI60-13.00140,5880
RGI60-13.00147,5842
RGI60-13.00175,5947
RGI60-13.00181,5983
RGI60-13.00183,6020
RGI60-13.00203,6291
RGI60-13.00210,6175
RGI60-13.00277,6342
RGI60-13.00358,6159
RGI60-13.00382,5724
RGI60-13.00386,5977
RGI60-13.00391,5948
RGI60-13.00394,6318
RGI60-13.00400,6413
RGI60-13.00401,5676
RGI60-13.00403,6219
RGI60-13.00439,5786
RGI60-13.00440,6290
RGI60-13.00441,5881
RGI60-13.00465,5877
RGI60-13.00561,6489.041313
RGI60-13.00585,6005
RGI60-13.00594,5812
RGI60-13.00604,NaN
RGI60-13.00606,5840
RGI60-13.00611,5017
RGI60-13.00628,5704.691692
RGI60-13.00643,5352
RGI60-13.00693,5537
RGI60-13.00713,5542
RGI60-13.00750,5555
RGI60-13.00751,5645.125524
RGI60-13.00757,5301
RGI60-13.00761,5402
RGI60-13.00763,5685.136284
RGI60-13.00777,4966
RGI60-13.00788,5280
RGI60-13.00809,5705
RGI60-13.00830,5232.657186
RGI60-13.00834,4942
RGI60-13.00838,4238
RGI60-13.00880,5043
RGI60-13.00884,5757
RGI60-13.00885,6181
RGI60-13.00891,5033
RGI60-13.00905,5365.000235
RGI60-13.00906,4062
RGI60-13.00928,4695
RGI60-13.00940,6202.332913
RGI60-13.00949,5092
RGI60-13.00951,5593
RGI60-13.00954,4999
RGI60-13.00956,5772
RGI60-13.00964,4894
RGI60-13.00965,4430
RGI60-13.00967,4972
RGI60-13.00972,5079
RGI60-13.00982,4685
RGI60-13.00995,5342
RGI60-13.00997,5367
RGI60-13.00999,4823
RGI60-13.01019,5197
RGI60-13.01022,5455
RGI60-13.01023,5052
RGI60-13.01027,5395
RGI60-13.01038,5126
RGI60-13.01044,5818.082521
RGI60-13.01045,5653
RGI60-13.01050,5651
RGI60-13.01057,5752
RGI60-13.01063,5466
RGI60-13.01098,5153
RGI60-13.01099,11540.43181
RGI60-13.01113,5757
RGI60-13.01121,5484
RGI60-13.01124,5436.963482
RGI60-13.01129,5572
RGI60-13.01136,5132
RGI60-13.01144,5778
RGI60-13.01145,5407
RGI60-13.01148,4444
RGI60-13.01150,5769
RGI60-13.01156,5584
RGI60-13.01157,4555
RGI60-13.01175,5618
RGI60-13.01176,5561
RGI60-13.01184,3911
RGI60-13.01186,5142
RGI60-13.01209,5874
RGI60-13.01211,5502
RGI60-13.01215,5614
RGI60-13.01228,5035
RGI60-13.01231,6191
RGI60-13.01232,5357
RGI60-13.01235,6096.897329
RGI60-13.01260,NaN
RGI60-13.01265,NaN
RGI60-13.01267,5179
RGI60-13.01268,4865
RGI60-13.01296,5355
RGI60-13.01316,6128
RGI60-13.01317,6193
RGI60-13.01325,5355
RGI60-13.01326,5199
RGI60-13.01328,4883
RGI60-13.01329,4396
RGI60-13.01333,5976
RGI60-13.01337,5003
RGI60-13.01340,4499
RGI60-13.01357,5165
RGI60-13.01391,5877
RGI60-13.01392,4096
RGI60-13.01393,6261
RGI60-13.01394,6538
RGI60-13.01403,6317
RGI60-13.01409,6061
RGI60-13.01410,NaN
RGI60-13.01428,11479.75334
RGI60-13.01430,7293
RGI60-13.01432,NaN
RGI60-13.01443,5349
RGI60-13.01456,5192
RGI60-13.01458,5709
RGI60-13.01480,5616
RGI60-13.01492,5725
RGI60-13.01500,NaN
RGI60-13.01530,6208.366958
RGI60-13.01536,3213
RGI60-13.01569,5514
RGI60-13.01582,NaN
RGI60-13.01605,5469
RGI60-13.01621,NaN
RGI60-13.01799,6305
RGI60-13.01804,4783
RGI60-13.01836,5307
RGI60-13.01837,5262
RGI60-13.01841,6149.923738
RGI60-13.01854,5428
RGI60-13.01857,5386.385045
RGI60-13.01863,NaN
RGI60-13.01871,5532
RGI60-13.01873,6028.442457
RGI60-13.01877,5654
RGI60-13.01897,5649.754394
RGI60-13.01920,6453
RGI60-13.01921,5125
RGI60-13.01926,5848
RGI60-13.01937,5972
RGI60-13.01953,6755.176279
RGI60-13.01956,6308
RGI60-13.01964,5304
RGI60-13.01968,5118
RGI60-13.01969,5090
RGI60-13.01980,5019
RGI60-13.01981,8252.31957
RGI60-13.01982,4648
RGI60-13.01983,5211
RGI60-13.01990,5364
RGI60-13.01991,5359
RGI60-13.01993,NaN
RGI60-13.02130,5945
RGI60-13.02141,5567
RGI60-13.02176,4439
RGI60-13.02180,NaN
RGI60-13.02182,6041
RGI60-13.02191,5550
RGI60-13.02192,5451
RGI60-13.02223,6002
RGI60-13.02225,5260
RGI60-13.02295,5352
RGI60-13.02348,5717
RGI60-13.02365,5745
RGI60-13.02390,5470
RGI60-13.02411,6438
RGI60-13.02414,5251
RGI60-13.02425,5994
RGI60-13.02432,5431
RGI60-13.02434,5438
RGI60-13.02442,5893
RGI60-13.02444,7853.60607
RGI60-13.02445,5136
RGI60-13.02446,5625
RGI60-13.02450,5294
RGI60-13.02451,5352
RGI60-13.02452,5352
RGI60-13.02453,7927.024112
RGI60-13.02458,5317
RGI60-13.02504,5441
RGI60-13.02516,5463
RGI60-13.02541,5500
RGI60-13.02566,5225
RGI60-13.02569,5408
RGI60-13.02586,5108
RGI60-13.02596,5894.678131
RGI60-13.02620,5394
RGI60-13.02631,5854.565195
RGI60-13.02632,5815
RGI60-13.02643,6397
RGI60-13.02645,5004
RGI60-13.02647,4809
RGI60-13.02655,5906.089087
RGI60-13.02675,5902
RGI60-13.02768,5654
RGI60-13.02790,5677.084028
RGI60-13.02800,5563
RGI60-13.02829,5512
RGI60-13.02830,5082
RGI60-13.02843,5621
RGI60-13.02844,6218
RGI60-13.02848,4834
RGI60-13.02850,5919
RGI60-13.02938,5543
RGI60-13.02950,5600
RGI60-13.02954,5693
RGI60-13.02961,6372.080972
RGI60-13.02968,6601
RGI60-13.02974,6192.089356
RGI60-13.02976,5072
RGI60-13.02979,4866
RGI60-13.02996,4622
RGI60-13.03022,6092
RGI60-13.03024,4505
RGI60-13.03033,5307
RGI60-13.03034,4787
RGI60-13.03037,5485
RGI60-13.03038,5492
RGI60-13.03095,5898
RGI60-13.03161,5602.235022
RGI60-13.03166,5641.023063
RGI60-13.03171,5669
RGI60-13.03242,5621.737284
RGI60-13.03307,6614
RGI60-13.03308,6927
RGI60-13.03309,6543
RGI60-13.03314,6418.419653
RGI60-13.03316,5413
RGI60-13.03319,5582
RGI60-13.03321,5287
RGI60-13.03349,NaN
RGI60-13.03374,NaN
RGI60-13.03377,5837
RGI60-13.03378,5859
RGI60-13.03399,5826
RGI60-13.03402,5773.934451
RGI60-13.03489,5422
RGI60-13.03516,5439
RGI60-13.03583,5505
RGI60-13.03681,NaN
RGI60-13.03755,6654.363256
RGI60-13.03762,5264
RGI60-13.03776,6189
